0.56 1.96258e-11 -2.09666e-14 7.87334e-19 -6.49495e-13 6.498333273549302e-13
0.57 1.96289e-11 -2.02341e-14 7.90587e-19 -6.48828e-13 6.491434297498782e-13
0.58 1.96315e-11 -1.94411e-14 8.01158e-19 -6.47813e-13 6.481046515331083e-13
0.59 1.96341e-11 -1.8648e-14 8.11729e-19 -6.46798e-13 6.470667668090047e-13
0.6 1.96367e-11 -1.7855e-14 8.223e-19 -6.45783e-13 6.46029785779786e-13
0.61 1.96393e-11 -1.70619e-14 8.32871e-19 -6.44767e-13 6.44992707494669e-13
0.62 1.9642e-11 -1.62689e-14 8.43442e-19 -6.43752e-13 6.439575410008966e-13
0.63 1.96431e-11 -1.54993e-14 8.63499e-19 -6.41769e-13 6.419561337523271e-13
0.64 1.96427e-11 -1.47533e-14 8.93044e-19 -6.38818e-13 6.389883386930371e-13
0.65 1.96423e-11 -1.40072e-14 9.22588e-19 -6.35867e-13 6.360212601334103e-13
0.66 1.96419e-11 -1.32611e-14 9.52133e-19 -6.32916e-13 6.330549105963215e-13
0.67 1.96415e-11 -1.25151e-14 9.81677e-19 -6.29965e-13 6.300893023643345e-13
0.68 1.96411e-11 -1.1769e-14 1.01122e-18 -6.27014e-13 6.271244418438995e-13
0.69 1.96397e-11 -1.10334e-14 1.03785e-18 -6.2338e-13 6.234776341751459e-13
0.7 1.96354e-11 -1.03292e-14 1.05574e-18 -6.17698e-13 6.17784356857435e-13
0.71 1.9631e-11 -9.625e-15 1.07363e-18 -6.12017e-13 6.120926800045502e-13
0.72 1.96267e-11 -8.92077e-15 1.09152e-18 -6.06335e-13 6.064006203522423e-13
0.73 1.96223e-11 -8.21655e-15 1.10941e-18 -6.00654e-13 6.007101958608104e-13
0.74 1.96179e-11 -7.51232e-15 1.1273e-18 -5.94972e-13 5.950194246720464e-13
0.75 1.96136e-11 -6.8081e-15 1.14519e-18 -5.89291e-13 5.893303258003286e-13
0.76 1.96054e-11 -5.83655e-15 1.16741e-18 -5.81124e-13 5.811533091132368e-13
0.77 1.95972e-11 -4.865e-15 1.18964e-18 -5.72958e-13 5.729786540442979e-13
0.78 1.95889e-11 -3.89345e-15 1.21187e-18 -5.64791e-13 5.648044198086371e-13
0.79 1.95807e-11 -2.92189e-15 1.23409e-18 -5.56625e-13 5.566326688828953e-13
0.8 1.95725e-11 -1.95034e-15 1.25632e-18 -5.48458e-13 5.484614677365166e-13
0.81 1.95643e-11 -9.78792e-16 1.27855e-18 -5.40292e-13 5.402928865896847e-13
0.82 1.95538e-11 3.24911e-16 1.29467e-18 -5.30669e-13 5.306690994676759e-13
0.83 1.95426e-11 1.73933e-15 1.30877e-18 -5.20561e-13 5.205639057710031e-13
0.84 1.95314e-11 3.15375e-15 1.32286e-18 -5.10454e-13 5.10463742352787e-13
0.85 1.95202e-11 4.56818e-15 1.33696e-18 -5.00346e-13 5.003668534048792e-13
0.86 1.9509e-11 5.9826e-15 1.35105e-18 -4.90238e-13 4.902745028538455e-13
0.87 1.94978e-11 7.39702e-15 1.36515e-18 -4.8013e-13 4.801869769233064e-13
0.88 1.94854e-11 8.99767e-15 1.36731e-18 -4.68909e-13 4.689953180451789e-13
0.89 1.94717e-11 1.07845e-14 1.35756e-18 -4.56573e-13 4.567003500886472e-13
0.9 1.94581e-11 1.25714e-14 1.3478e-18 -4.44237e-13 4.4441484253878896e-13
0.91 1.94444e-11 1.43583e-14 1.33804e-18 -4.31902e-13 4.3214060025028934e-13
0.92 1.94307e-11 1.61452e-14 1.32828e-18 -4.19566e-13 4.198765245173923e-13
0.93 1.9417e-11 1.79321e-14 1.31853e-18 -4.07231e-13 4.0762562183104795e-13
