0.0 0.0 0.0665244
0.0 0.0625 0.0665193
0.0 0.125 0.0665095
0.0 0.1875 0.0664989
0.0 0.25 0.0664892
0.0 0.3125 0.0664814
0.0 0.375 0.0664758
0.0 0.4375 0.0664725
0.0 0.5 0.0664717
0.0 0.5625 0.0664733
0.0 0.625 0.0664774
0.0 0.6875 0.0664838
0.0 0.75 0.0664922
0.0 0.8125 0.0665023
0.0 0.875 0.0665131
0.0 0.9375 0.0665218
0.0 1.0 0.0665244
0.0 1.0625 nan
0.0 1.125 nan
0.0 1.1875 nan
0.0 1.25 nan
0.0 1.3125 nan
0.0 1.375 nan
0.0 1.4375 nan
0.0 1.5 nan
0.0 1.5625 nan
0.0 1.625 nan
0.0 1.6875 nan
0.0 1.75 nan
0.0 1.8125 nan
0.0 1.875 nan
0.0 1.9375 nan
0.0 2.0 nan
0.0 2.0625 nan
0.0 2.125 nan
0.0 2.1875 nan
0.0 2.25 nan
0.0 2.3125 nan
0.0 2.375 nan
0.0 2.4375 nan
0.0 2.5 nan
0.0 2.5625 nan
0.0 2.625 nan
0.0 2.6875 nan
0.0 2.75 nan
0.0 2.8125 nan
0.0 2.875 nan
0.0 2.9375 nan
0.0 3.0 nan
0.0625 0.0 0.0665245
0.0625 0.0625 0.0665211
0.0625 0.125 0.0665126
0.0625 0.1875 0.0665027
0.0625 0.25 0.0664935
0.0625 0.3125 0.0664859
0.0625 0.375 0.0664802
0.0625 0.4375 0.0664767
0.0625 0.5 0.0664755
0.0625 0.5625 0.0664767
0.0625 0.625 0.0664801
0.0625 0.6875 0.0664857
0.0625 0.75 0.0664932
0.0625 0.8125 0.0665024
0.0625 0.875 0.0665123
0.0625 0.9375 0.0665209
0.0625 1.0 0.0665244
0.0625 1.0625 nan
0.0625 1.125 nan
0.0625 1.1875 nan
0.0625 1.25 nan
0.0625 1.3125 nan
0.0625 1.375 nan
0.0625 1.4375 nan
0.0625 1.5 nan
0.0625 1.5625 nan
0.0625 1.625 nan
0.0625 1.6875 nan
0.0625 1.75 nan
0.0625 1.8125 nan
0.0625 1.875 nan
0.0625 1.9375 nan
0.0625 2.0 nan
0.0625 2.0625 nan
0.0625 2.125 nan
0.0625 2.1875 nan
0.0625 2.25 nan
0.0625 2.3125 nan
0.0625 2.375 nan
0.0625 2.4375 nan
0.0625 2.5 nan
0.0625 2.5625 nan
0.0625 2.625 nan
0.0625 2.6875 nan
0.0625 2.75 nan
0.0625 2.8125 nan
0.0625 2.875 nan
0.0625 2.9375 nan
0.0625 3.0 nan
0.125 0.0 0.0665213
0.125 0.0625 0.0665192
0.125 0.125 0.0665119
0.125 0.1875 0.0665031
0.125 0.25 0.0664951
0.125 0.3125 0.0664883
0.125 0.375 0.0664834
0.125 0.4375 0.0664803
0.125 0.5 0.0664792
0.125 0.5625 0.0664802
0.125 0.625 0.0664833
0.125 0.6875 0.0664882
0.125 0.75 0.0664949
0.125 0.8125 0.066503
0.125 0.875 0.0665117
0.125 0.9375 0.0665191
0.125 1.0 0.0665229
0.125 1.0625 nan
0.125 1.125 nan
0.125 1.1875 nan
0.125 1.25 nan
0.125 1.3125 nan
0.125 1.375 nan
0.125 1.4375 nan
0.125 1.5 nan
0.125 1.5625 nan
0.125 1.625 nan
0.125 1.6875 nan
0.125 1.75 nan
0.125 1.8125 nan
0.125 1.875 nan
0.125 1.9375 nan
0.125 2.0 nan
0.125 2.0625 nan
0.125 2.125 nan
0.125 2.1875 nan
0.125 2.25 nan
0.125 2.3125 nan
0.125 2.375 nan
0.125 2.4375 nan
0.125 2.5 nan
0.125 2.5625 nan
0.125 2.625 nan
0.125 2.6875 nan
0.125 2.75 nan
0.125 2.8125 nan
0.125 2.875 nan
0.125 2.9375 nan
0.125 3.0 nan
0.1875 0.0 0.0665143
0.1875 0.0625 0.066513
0.1875 0.125 0.0665063
0.1875 0.1875 0.0664983
0.1875 0.25 0.0664909
